<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z013E0192	150.0	70.0	NaN	NaN	NaN
Z013E0193	145.0	60.0	178.0	16.0	3.2
Z013E0194	165.0	75.0	130.0	NaN	4.2
Z013E0195	NaN	NaN	NaN	NaN	NaN
Z013E0196	120.0	40.0	147.0	12.0	5.3
Z013E0197	145.0	75.0	NaN	NaN	NaN
Z013E0198	155.0	70.0	183.0	14.0	4.4
Z013E0199	145.0	45.0	159.0	12.0	3.7
Z013E0200	165.0	80.0	NaN	NaN	NaN
Z013E0201	169.0	80.5	145.6	19.25	4.1
Z013E0202	142.0	74.5	125.0	13.0	2.55
Z013E0204	NaN	NaN	NaN	NaN	NaN
Z013E0207	NaN	NaN	NaN	NaN	NaN
Z013E0208	NaN	NaN	NaN	NaN	NaN
Z013E0211	NaN	NaN	NaN	NaN	NaN
Z013E0212	NaN	NaN	NaN	NaN	NaN
Z013E0213	NaN	NaN	NaN	NaN	NaN
Z013E0216	NaN	NaN	NaN	NaN	NaN
Z013E0218	NaN	NaN	NaN	NaN	NaN
Z013E0220	NaN	NaN	NaN	NaN	NaN
Z013E0221	NaN	NaN	NaN	NaN	NaN
Z013E0222	NaN	NaN	NaN	NaN	NaN
Z013E0224	NaN	NaN	NaN	NaN	NaN
Z013E0225	NaN	NaN	NaN	NaN	NaN
Z013E0226	NaN	NaN	NaN	NaN	NaN
Z013E0227	NaN	NaN	NaN	NaN	NaN
Z013E0228	NaN	NaN	NaN	NaN	NaN
Z013E0229	NaN	NaN	NaN	NaN	NaN
Z013E0231	NaN	NaN	NaN	NaN	NaN
Z013E0233	NaN	NaN	NaN	NaN	NaN
Z013E0234	NaN	NaN	NaN	NaN	NaN
Z013E0235	NaN	NaN	NaN	NaN	NaN
Z013E0236	NaN	NaN	NaN	NaN	NaN
Z013E0238	NaN	NaN	NaN	NaN	NaN
Z013E0239	NaN	NaN	NaN	NaN	NaN
Z013E0240	NaN	NaN	NaN	NaN	NaN
Z013E0241	NaN	NaN	NaN	NaN	NaN
Z013E0242	NaN	NaN	NaN	NaN	NaN
Z013E0244	NaN	NaN	NaN	NaN	NaN
Z013E0247	NaN	NaN	NaN	NaN	NaN
Z013E0249	NaN	NaN	NaN	NaN	NaN
Z013E0251	NaN	NaN	NaN	NaN	NaN
Z013E0252	NaN	NaN	NaN	NaN	NaN
Z013E0253	NaN	NaN	NaN	NaN	NaN
Z013E0256	NaN	NaN	NaN	NaN	NaN
Z014E0001	185.0	80.0	182.0	13.0	5.25
Z014E0002	160.0	60.0	183.0	12.0	6.2
Z014E0003	175.0	75.0	154.0	14.0	6.45
Z014E0004	185.0	85.0	158.5	15.0	4.15
Z014E0005	200.0	105.0	145.0	12.0	5.2
Z014E0006	170.0	75.0	178.0	12.0	4.1
Z014E0007	200.0	95.0	194.0	16.0	4.5
Z014E0008	175.0	75.0	139.0	14.0	4.5
Z014E0009	200.0	95.0	159.5	16.0	3.9
Z014E0010	175.0	85.0	153.0	12.0	6.2
Z014E0011	175.0	60.0	116.5	13.0	6.0
Z014E0012	185.0	95.0	141.0	16.0	4.6
Z014E0013	180.0	80.0	157.5	18.0	4.25
Z014E0014	170.0	80.0	145.0	16.0	5.3
Z014E0015	170.0	95.0	118.0	14.0	3.3
Z014E0016	195.0	110.0	151.0	14.0	5.9
Z014E0017	200.0	125.0	125.0	16.0	6.2
Z014E0018	170.0	90.0	151.0	12.0	4.9
Z014E0019	185.0	95.0	134.0	18.0	2.8
Z014E0020	175.0	80.0	NaN	NaN	NaN
Z014E0021	170.0	85.0	129.5	14.0	5.95
Z014E0022	170.0	90.0	156.0	18.0	3.6
Z014E0023	210.0	100.0	164.0	14.0	4.4
Z014E0024	200.0	115.0	158.0	16.0	6.4
Z014E0025	175.0	85.0	NaN	NaN	NaN
Z014E0026	155.0	75.0	173.0	12.0	4.7
Z014E0027	170.0	100.0	136.0	12.0	5.1
Z014E0028	150.0	55.0	NaN	NaN	5.1
Z014E0029	160.0	85.0	163.0	12.0	4.2
Z014E0030	210.0	105.0	157.0	16.0	5.7
Z014E0031	175.0	65.0	162.5	15.0	4.2
Z014E0032	195.0	100.0	133.0	14.0	5.7
Z014E0033	165.0	90.0	149.0	14.0	4.2
Z014E0034	180.0	80.0	179.0	13.0	5.0
Z014E0035	170.0	75.0	144.0	15.0	3.7
Z014E0036	170.0	90.0	153.0	14.0	2.7
Z014E0037	205.0	120.0	191.0	12.0	5.9
Z014E0038	155.0	65.0	138.5	16.5	4.2
Z014E0039	190.0	90.0	170.5	14.0	3.9
Z014E0040	150.0	70.0	122.0	16.0	3.3
Z014E0041	170.0	90.0	145.0	16.0	4.5
Z014E0042	160.0	85.0	148.0	20.0	3.5
Z014E0043	185.0	85.0	125.0	14.0	4.8
Z014E0044	200.0	100.0	155.5	13.0	8.6
Z014E0045	180.0	100.0	127.0	12.0	7.4
Z014E0046	195.0	95.0	115.0	16.0	NaN
Z014E0047	200.0	110.0	NaN	14.0	5.0
Z014E0048	185.0	90.0	165.0	16.0	4.1
Z014E0049	170.0	80.0	182.0	12.0	5.9
Z014E0050	190.0	90.0	NaN	NaN	3.8
Z014E0051	190.0	85.0	163.0	12.0	6.7
Z014E0052	180.0	95.0	139.0	14.0	7.4
Z014E0053	165.0	85.0	169.0	14.0	4.65
Z014E0054	195.0	105.0	161.0	14.0	6.2
Z014E0055	175.0	100.0	126.5	16.0	6.0
Z014E0056	180.0	90.0	140.0	14.0	3.8
Z014E0057	155.0	90.0	103.0	9.5	3.6
Z014E0058	170.0	85.0	129.0	16.0	3.8
Z014E0059	165.0	75.0	150.0	13.0	5.05
Z014E0060	170.0	95.0	151.5	14.5	4.3
Z014E0061	185.0	80.0	134.0	12.0	6.9
Z014E0062	175.0	85.0	155.0	13.0	4.45
Z014E0063	130.0	65.0	145.0	24.0	3.0
Z014E0064	195.0	100.0	94.0	16.0	4.4
Z014E0065	170.0	90.0	141.5	16.0	2.8
Z014E0066	180.0	85.0	128.0	16.0	4.6
Z014E0067	165.0	75.0	146.0	12.0	3.0
Z014E0068	160.0	90.0	177.0	14.0	4.1
Z014E0069	180.0	90.0	167.0	16.0	4.0
Z014E0070	195.0	115.0	159.0	12.0	6.0
Z014E0071	200.0	105.0	156.0	16.0	4.6
Z014E0072	170.0	75.0	NaN	NaN	NaN
Z014E0073	165.0	90.0	106.0	16.0	5.0
Z014E0074	175.0	85.0	153.0	14.0	4.4
Z014E0075	185.0	90.0	160.5	14.0	4.7
Z014E0076	170.0	85.0	150.0	12.0	4.3
Z014E0077	180.0	95.0	160.0	16.0	6.0
Z014E0078	185.0	100.0	131.0	16.0	4.15
Z014E0079	190.0	100.0	154.5	13.5	6.45
Z014E0080	165.0	80.0	135.0	12.0	5.2
Z014E0081	160.0	80.0	143.0	14.0	5.0
Z014E0082	160.0	85.0	113.0	14.0	NaN
Z014E0083	180.0	90.0	NaN	NaN	NaN
Z014E0084	175.0	90.0	124.0	12.0	3.9
Z014E0085	180.0	95.0	148.5	14.0	4.8
Z014E0086	200.0	95.0	152.0	12.0	5.4
Z014E0087	180.0	85.0	140.5	17.0	3.75
Z014E0088	205.0	125.0	124.0	16.0	7.5
Z014E0089	185.0	110.0	131.0	12.0	6.0
Z014E0090	200.0	90.0	166.5	18.0	4.65
Z014E0091	160.0	95.0	101.0	14.0	2.0
Z014E0092	155.0	80.0	155.0	16.0	4.9
Z014E0093	185.0	85.0	149.0	13.0	5.7
Z014E0094	185.0	80.0	172.0	12.0	4.8
Z014E0095	195.0	90.0	NaN	NaN	NaN
Z014E0096	185.0	85.0	NaN	NaN	NaN
Z014E0097	190.0	110.0	144.0	16.0	4.1
Z014E0098	180.0	80.0	127.0	18.0	4.3
Z014E0099	215.0	135.0	156.5	17.0	6.0
Z014E0100	170.0	95.0	136.0	18.0	4.0
Z014E0101	165.0	80.0	137.0	16.5	3.9
Z014E0102	185.0	75.0	141.0	14.0	4.1
Z014E0103	170.0	85.0	120.0	14.0	4.1
Z014E0104	175.0	105.0	123.0	12.0	4.5
Z014E0105	185.0	100.0	181.0	13.0	5.15
Z014E0106	175.0	105.0	145.0	14.0	5.6
Z014E0107	185.0	100.0	159.0	14.0	5.5
Z014E0108	160.0	85.0	133.0	NaN	5.2
Z014E0109	170.0	85.0	NaN	NaN	4.7
Z014E0110	195.0	110.0	149.0	12.0	5.0
Z014E0111	165.0	75.0	146.5	17.0	3.2
Z014E0112	175.0	85.0	129.5	13.0	5.4
Z014E0113	165.0	80.0	NaN	NaN	4.2
Z014E0114	185.0	85.0	NaN	NaN	NaN
Z014E0115	180.0	85.0	169.0	20.0	4.2
Z014E0116	180.0	85.0	148.0	16.0	4.1
Z014E0117	160.0	70.0	124.0	14.0	4.4
Z014E0118	195.0	80.0	108.0	NaN	NaN
Z014E0119	195.0	85.0	148.0	14.0	7.4
Z014E0120	170.0	85.0	159.0	14.0	5.3
Z014E0121	205.0	100.0	158.0	12.0	4.6
Z014E0122	180.0	100.0	132.0	14.0	3.3
Z014E0123	205.0	100.0	139.5	16.0	4.5
Z014E0124	155.0	70.0	161.0	14.0	5.8
Z014E0125	165.0	70.0	NaN	NaN	4.6
Z014E0126	160.0	80.0	160.0	12.0	4.5
Z014E0127	165.0	80.0	NaN	NaN	6.2
Z014E0128	160.0	75.0	110.0	14.0	3.7
Z014E0129	165.0	75.0	155.0	16.0	4.1
Z014E0130	185.0	100.0	155.0	16.0	5.8
Z014E0131	190.0	115.0	139.5	15.0	4.95
Z014E0132	180.0	85.0	148.0	14.0	4.6
Z014E0133	205.0	100.0	133.5	13.0	4.7
Z014E0134	170.0	80.0	120.0	16.0	4.1
Z014E0135	180.0	70.0	155.5	14.0	5.25
Z014E0136	180.0	100.0	114.0	14.0	5.0
Z014E0137	145.0	60.0	133.0	10.0	3.1
Z014E0138	155.0	80.0	131.0	10.5	6.35
Z014E0139	195.0	80.0	NaN	NaN	NaN
Z014E0140	175.0	65.0	133.0	12.0	5.4
Z014E0141	165.0	70.0	148.0	14.0	3.2
Z014E0142	180.0	70.0	152.0	16.0	3.0
Z014E0143	175.0	90.0	131.0	13.5	5.7
Z014E0144	160.0	70.0	NaN	NaN	4.1
Z014E0145	195.0	110.0	119.0	12.0	4.8
Z014E0146	195.0	110.0	117.0	18.0	3.7
Z014E0147	190.0	95.0	164.5	16.0	4.6
Z014E0148	180.0	110.0	164.0	14.0	5.0
Z014E0149	170.0	85.0	123.5	17.0	3.2
Z014E0150	195.0	90.0	183.5	14.0	6.3
Z014E0151	200.0	90.0	160.0	12.0	5.8
Z014E0152	180.0	95.0	169.0	14.0	6.3
Z014E0153	170.0	90.0	112.5	14.0	5.65
Z014E0154	NaN	NaN	NaN	NaN	NaN
Z014E0155	170.0	70.0	170.5	12.0	5.6
Z014E0156	185.0	95.0	180.0	10.0	5.9
Z014E0157	180.0	80.0	174.0	16.0	4.8
Z014E0158	165.0	80.0	131.0	18.0	4.0
Z014E0159	160.0	60.0	NaN	NaN	NaN
Z014E0160	190.0	90.0	134.0	14.0	5.3
Z014E0161	200.0	130.0	138.0	16.0	3.8
Z014E0162	180.0	85.0	146.0	18.0	3.9
Z014E0163	180.0	90.0	NaN	NaN	NaN
Z014E0164	200.0	95.0	149.0	16.0	3.8
Z014E0165	185.0	85.0	129.0	14.0	5.1
Z014E0166	185.0	100.0	177.0	13.0	5.6
Z014E0167	170.0	80.0	NaN	NaN	NaN
Z014E0168	165.0	65.0	155.0	12.0	6.1
Z014E0169	190.0	110.0	155.0	17.0	3.95
Z014E0170	145.0	75.0	113.5	13.0	3.0
Z014E0171	195.0	100.0	147.0	16.0	5.7
Z014E0172	200.0	105.0	142.0	16.0	2.8
Z014E0173	215.0	125.0	162.0	16.0	5.0
Z014E0174	175.0	90.0	135.0	16.0	6.1
Z014E0175	145.0	70.0	149.5	12.0	5.05
Z014E0176	165.0	75.0	147.0	14.0	4.0
Z014E0177	205.0	125.0	162.0	14.0	6.2
Z014E0178	175.0	100.0	180.0	16.0	4.6
Z014E0179	135.0	50.0	144.0	14.0	7.5
Z014E0180	155.0	85.0	143.0	16.0	3.4
Z014E0181	185.0	85.0	152.0	16.0	4.0
Z014E0182	195.0	90.0	119.5	11.0	4.25
Z014E0183	200.0	105.0	182.0	12.0	4.3
Z014E0184	165.0	70.0	150.0	16.0	3.8
Z014E0185	165.0	75.0	133.0	10.0	5.3
Z014E0186	180.0	90.0	151.125	15.0	4.7
Z014E0187	195.0	95.0	174.5	19.0	3.85
Z014E0188	200.0	105.0	111.5	19.0	3.8
Z014E0189	200.0	115.0	146.0	14.0	4.1
Z014E0190	190.0	110.0	105.0	16.0	4.9
Z014E0191	185.0	100.0	NaN	NaN	NaN
Z014E0192	180.0	75.0	119.6666667	16.0	5.55
Z014E0193	190.0	100.0	105.0	13.0	6.2
Z014E0194	195.0	105.0	137.0	12.0	5.3
Z014E0195	165.0	80.0	111.0	16.0	3.5
Z014E0196	185.0	90.0	120.0	16.0	4.1
Z014E0197	175.0	85.0	129.0	14.0	4.5
Z014E0198	180.0	70.0	126.0	11.0	5.6
Z014E0199	135.0	70.0	127.0	15.0	3.7
Z014E0200	165.0	85.0	163.0	14.0	5.5
Z014E0201	178.5	83.5	148.4166667	17.72727273	4.353846154
Z014E0202	170.5	90.5	137.6	NaN	5.714285714
Z014E0206	NaN	NaN	NaN	NaN	NaN
Z014E0208	NaN	NaN	NaN	NaN	NaN
Z014E0259	NaN	NaN	NaN	NaN	NaN
Z015E0001	180.0	85.0	163.0	14.0	5.3
Z015E0002	160.0	90.0	130.0	12.0	3.9
Z015E0003	150.0	75.0	108.0	14.0	5.2
Z015E0004	180.0	75.0	174.0	12.0	6.8
Z015E0005	110.0	45.0	114.0	14.0	1.4
Z015E0006	195.0	105.0	120.0	14.0	5.9
Z015E0007	155.0	75.0	96.0	14.0	4.4
Z015E0008	200.0	115.0	143.0	16.0	6.3
Z015E0009	185.0	105.0	158.0	20.0	3.9
Z015E0010	195.0	75.0	147.0	14.0	4.8
Z015E0011	130.0	70.0	116.0	14.0	3.0
Z015E0012	NaN	NaN	NaN	NaN	NaN
Z015E0013	200.0	125.0	152.0	12.0	5.6
Z015E0014	200.0	80.0	156.0	16.0	6.0
Z015E0015	180.0	110.0	NaN	NaN	NaN
Z015E0016	200.0	100.0	157.0	14.0	4.7
Z015E0017	155.0	65.0	142.0	16.0	4.2
Z015E0018	165.0	80.0	107.0	NaN	NaN
Z015E0019	170.0	90.0	132.0	20.0	4.4
Z015E0020	152.5	80.0	82.0	10.0	2.0
Z015E0021	125.0	60.0	132.0	16.0	3.6
Z015E0022	190.0	100.0	141.0	16.0	3.8
Z015E0023	200.0	120.0	144.0	14.0	4.9
Z015E0024	195.0	95.0	NaN	NaN	NaN
Z015E0025	200.0	100.0	192.0	15.0	7.0
Z015E0026	195.0	95.0	176.0	14.0	5.6
Z015E0027	165.0	77.5	158.0	14.0	4.4
Z015E0028	170.0	95.0	123.0	12.0	3.5
Z015E0029	105.0	55.0	145.0	16.0	4.9
Z015E0030	145.0	70.0	124.0	NaN	3.5
Z015E0031	145.0	80.0	176.0	14.0	5.0
Z015E0032	140.0	55.0	140.0	16.0	3.7
Z015E0033	150.0	75.0	146.0	14.0	6.2
Z015E0034	160.0	70.0	102.0	14.0	2.7
Z015E0035	145.0	55.0	154.0	14.0	4.0
Z015E0036	190.0	90.0	171.0	14.0	4.3
Z015E0037	NaN	NaN	112.0	12.0	2.3
Z015E0038	135.0	55.0	147.0	16.0	3.7
Z015E0039	160.0	70.0	NaN	NaN	NaN
Z015E0040	175.0	100.0	161.0	14.0	4.4
Z015E0041	200.0	120.0	145.0	14.0	5.7
Z015E0042	155.0	75.0	124.0	16.0	2.2
Z015E0043	185.0	105.0	134.0	NaN	4.8
Z015E0044	160.0	80.0	NaN	NaN	NaN
Z015E0045	150.0	70.0	109.0	14.0	3.7
Z015E0046	160.0	80.0	141.0	14.0	5.8
Z015E0047	195.0	105.0	NaN	NaN	NaN
Z015E0048	180.0	105.0	172.0	14.0	5.3
Z015E0049	NaN	NaN	NaN	NaN	NaN
Z015E0050	200.0	90.0	118.0	12.0	4.8
Z015E0051	200.0	125.0	NaN	NaN	NaN
Z015E0052	165.0	75.0	142.0	16.0	3.5
Z015E0053	180.0	95.0	133.0	16.0	5.3
Z015E0054	200.0	125.0	153.5	16.0	6.6
Z015E0055	150.0	80.0	90.0	14.0	2.6
Z015E0056	150.0	65.0	106.0	16.0	3.0
Z015E0057	190.0	100.0	144.0	12.0	5.9
Z015E0058	145.0	75.0	97.0	18.0	4.7
Z015E0059	175.0	80.0	144.0	12.0	5.5
Z015E0060	NaN	NaN	NaN	NaN	NaN
Z015E0061	180.0	85.0	139.0	14.0	6.0
Z015E0062	175.0	90.0	132.5	15.0	4.35
Z015E0063	175.0	90.0	160.0	14.0	5.7
Z015E0064	135.0	65.0	136.5	14.0	5.7
Z015E0065	195.0	125.0	145.0	16.0	5.1
Z015E0066	175.0	75.0	118.0	NaN	3.8
Z015E0067	185.0	100.0	143.0	16.0	3.6
Z015E0068	NaN	NaN	100.0	12.0	2.4
Z015E0069	180.0	80.0	168.0	14.0	5.8
Z015E0070	145.0	75.0	120.0	NaN	2.7
Z015E0071	NaN	NaN	149.0	12.0	2.6
Z015E0072	145.0	65.0	128.0	14.0	3.6
Z015E0073	150.0	85.0	155.0	16.0	3.3
Z015E0074	180.0	95.0	NaN	NaN	NaN
Z015E0075	165.0	90.0	76.0	12.0	3.4
Z015E0076	NaN	NaN	93.0	NaN	1.1
Z015E0077	160.0	95.0	116.0	14.0	3.2
Z015E0078	150.0	70.0	146.0	14.0	4.7
Z015E0079	185.0	100.0	120.0	12.0	4.2
Z015E0080	160.0	70.0	159.0	16.0	5.4
Z015E0081	170.0	75.0	193.0	14.0	6.2
Z015E0082	185.0	75.0	137.0	16.0	4.3
Z015E0083	160.0	70.0	122.0	16.0	3.5
Z015E0084	130.0	65.0	106.0	18.0	1.8
Z015E0085	165.0	85.0	131.0	16.0	4.1
Z015E0086	160.0	90.0	137.0	16.0	2.7
Z015E0087	125.0	45.0	102.0	NaN	3.4
Z015E0088	170.0	95.0	120.0	14.0	2.8
Z015E0089	160.0	75.0	142.0	14.0	4.8
Z015E0090	200.0	100.0	163.5	16.33333333	4.0
Z015E0091	175.0	75.0	150.0	16.0	3.6
Z015E0092	155.0	85.0	150.0	14.0	5.4
Z015E0093	NaN	NaN	NaN	NaN	NaN
Z015E0094	155.0	95.0	123.0	14.0	3.1
Z015E0095	185.0	90.0	166.0	12.0	5.4
Z015E0096	200.0	115.0	156.0	16.0	4.9
Z015E0097	175.0	115.0	119.0	12.0	NaN
Z015E0098	NaN	NaN	NaN	NaN	NaN
Z015E0099	195.0	110.0	131.0	NaN	3.3
Z015E0100	160.0	90.0	114.0	14.0	NaN
Z015E0101	155.0	75.0	114.0	14.0	6.2
Z015E0102	125.0	60.0	143.0	16.0	4.3
Z015E0103	195.0	105.0	134.0	14.0	4.5
Z015E0104	150.0	75.0	137.0	12.0	5.1
Z015E0105	140.0	50.0	122.0	12.0	5.35
Z015E0106	NaN	NaN	113.0	12.0	2.5
Z015E0107	125.0	45.0	107.0	NaN	2.9
Z015E0108	145.0	75.0	165.0	18.0	3.4
Z015E0109	135.0	65.0	153.0	12.0	3.1
Z015E0110	190.0	110.0	150.0	12.0	4.8
Z015E0111	185.0	85.0	138.0	12.0	3.0
Z015E0112	150.0	55.0	100.0	14.0	3.7
Z015E0113	175.0	85.0	134.0	16.0	6.5
Z015E0114	195.0	95.0	133.0	12.0	5.2
Z015E0115	195.0	100.0	157.0	18.0	3.0
Z015E0116	175.0	85.0	164.0	16.0	5.7
Z015E0117	170.0	75.0	123.0	12.0	4.2
Z015E0118	145.0	75.0	113.0	12.0	1.8
Z015E0119	190.0	110.0	NaN	NaN	NaN
Z015E0120	190.0	90.0	181.0	16.0	3.4
Z015E0121	135.0	55.0	133.0	14.0	3.2
Z015E0122	NaN	NaN	105.0	NaN	1.3
Z015E0123	160.0	75.0	127.0	16.0	5.1
Z015E0124	150.0	75.0	144.0	14.0	3.5
Z015E0125	160.0	90.0	122.0	NaN	3.2
Z015E0126	180.0	95.0	126.0	16.0	4.4
Z015E0127	160.0	80.0	189.0	16.0	5.6
Z015E0128	155.0	80.0	153.0	14.0	4.3
Z015E0129	170.0	95.0	145.0	14.0	3.7
Z015E0130	170.0	95.0	123.0	12.0	4.3
Z015E0131	NaN	NaN	132.0	14.0	4.0
Z015E0132	140.0	65.0	123.0	16.0	NaN
Z015E0133	150.0	75.0	81.0	18.0	3.1
Z015E0134	145.0	65.0	145.0	14.0	2.9
Z015E0135	105.0	55.0	111.0	12.0	4.0
Z015E0136	200.0	100.0	154.0	12.0	3.8
Z015E0137	175.0	85.0	190.0	16.0	4.5
Z015E0138	180.0	100.0	150.0	14.0	4.3
Z015E0139	170.0	90.0	NaN	NaN	3.4
Z015E0140	135.0	75.0	107.0	12.0	4.0
Z015E0141	145.0	60.0	122.0	16.0	2.2
Z015E0142	140.0	80.0	141.0	14.0	3.6
Z015E0143	120.0	55.0	127.0	12.0	NaN
Z015E0144	185.0	100.0	142.0	12.0	6.0
Z015E0145	185.0	100.0	129.0	16.0	3.4
Z015E0146	145.0	75.0	145.0	14.0	5.9
Z015E0147	NaN	NaN	NaN	NaN	NaN
Z015E0148	175.0	95.0	164.0	18.0	4.0
Z015E0149	150.0	65.0	109.0	14.0	3.5
Z015E0150	160.0	85.0	155.0	NaN	7.6
Z015E0151	170.0	80.0	114.0	16.0	5.5
Z015E0152	180.0	95.0	132.0	16.0	3.6
Z015E0153	175.0	90.0	119.0	14.0	3.7
Z015E0154	140.0	55.0	118.0	16.0	5.25
Z015E0155	160.0	85.0	145.0	14.0	6.6
Z015E0156	NaN	NaN	NaN	NaN	NaN
Z015E0157	190.0	75.0	179.0	14.0	4.1
Z015E0158	175.0	85.0	182.0	12.0	2.5
Z015E0159	135.0	45.0	NaN	NaN	NaN
Z015E0160	190.0	95.0	NaN	NaN	NaN
Z015E0161	195.0	105.0	116.0	12.0	4.2
Z015E0162	170.0	100.0	142.5	16.0	5.5
Z015E0163	175.0	85.0	138.0	15.0	3.9
Z015E0164	NaN	NaN	NaN	NaN	NaN
Z015E0165	125.0	50.0	122.0	12.0	6.1
Z015E0166	150.0	80.0	NaN	NaN	NaN
Z015E0167	NaN	NaN	NaN	NaN	NaN
Z015E0168	150.0	65.0	132.0	14.0	5.2
Z015E0169	160.0	70.0	147.0	14.0	5.0
Z015E0170	155.0	75.0	133.0	14.0	5.1
Z015E0171	105.0	50.0	94.0	14.0	1.8
Z015E0172	195.0	110.0	130.0	12.0	5.5
Z015E0173	135.0	75.0	131.0	14.0	3.0
Z015E0174	155.0	75.0	137.0	14.0	2.9
Z015E0175	155.0	65.0	125.0	16.0	3.2
Z015E0176	185.0	95.0	119.0	14.0	5.8
Z015E0177	180.0	100.0	141.0	14.0	4.8
Z015E0178	160.0	80.0	136.0	14.0	5.4
Z015E0179	NaN	NaN	167.0	14.0	3.7
Z015E0180	160.0	95.0	97.0	14.0	3.45
Z015E0181	125.0	45.0	131.5	15.0	3.15
Z015E0182	145.0	80.0	118.0	14.0	3.8
Z015E0183	195.0	100.0	166.0	14.0	3.9
Z015E0184	175.0	85.0	NaN	NaN	3.9
Z015E0185	185.0	95.0	114.5	16.0	4.15
Z015E0186	155.0	90.0	NaN	14.0	4.9
Z015E0187	150.0	85.0	141.5	12.0	5.65
Z015E0188	150.0	75.0	143.0	12.0	3.9
Z015E0189	145.0	70.0	171.0	16.0	5.9
Z015E0190	130.0	60.0	NaN	NaN	NaN
Z015E0191	180.0	95.0	146.0	14.0	4.2
Z015E0192	170.0	75.0	113.0	12.0	4.6
Z015E0193	180.0	100.0	164.0	NaN	5.0
Z015E0194	175.0	90.0	111.0	12.0	4.7
Z015E0195	NaN	NaN	123.0	12.0	2.4
Z015E0196	180.0	105.0	147.0	16.0	5.1
Z015E0197	NaN	NaN	94.0	14.0	1.4
Z015E0198	170.0	70.0	127.5	13.0	4.25
Z015E0199	140.0	70.0	126.0	16.0	NaN
Z015E0200	110.0	45.0	106.5	12.5	4.75
Z015E0201	166.0	73.5	132.5	18.0	4.671428571
Z015E0202	NaN	NaN	109.6666667	13.55555556	3.177777778
Z015E0203	NaN	NaN	NaN	NaN	NaN
Z015E0230	NaN	NaN	NaN	NaN	NaN
Z015E0232	NaN	NaN	NaN	NaN	NaN
Z015E0235	NaN	NaN	NaN	NaN	NaN
Z015E0237	NaN	NaN	NaN	NaN	NaN
Z015E0238	NaN	NaN	NaN	NaN	NaN
Z015E0242	NaN	NaN	NaN	NaN	NaN
Z015E0243	NaN	NaN	NaN	NaN	NaN
Z015E0282	NaN	NaN	NaN	NaN	NaN
Z016E0001	170.0	95.0	156.0	14.0	4.3
Z016E0002	180.0	90.0	124.0	14.0	4.35
Z016E0003	200.0	90.0	170.0	14.0	3.9
Z016E0004	160.0	90.0	166.0	16.0	3.4
Z016E0005	195.0	110.0	91.0	16.0	4.5
Z016E0006	175.0	95.0	164.0	12.0	5.2
Z016E0007	140.0	65.0	146.6666667	13.33333333	4.833333333
Z016E0008	175.0	75.0	157.0	16.0	3.9
Z016E0009	175.0	80.0	124.0	16.0	5.6
Z016E0010	185.0	90.0	107.0	14.0	5.1
Z016E0011	180.0	90.0	180.0	16.0	5.1
Z016E0012	150.0	65.0	107.0	16.0	NaN
Z016E0013	175.0	100.0	130.0	16.0	6.8
Z016E0014	165.0	75.0	163.0	14.0	4.6
Z016E0015	205.0	80.0	122.0	18.0	3.7
Z016E0016	170.0	80.0	176.0	12.0	4.5
Z016E0017	180.0	75.0	128.5	18.0	5.2
Z016E0018	190.0	70.0	177.0	14.0	5.6
Z016E0019	185.0	65.0	163.0	12.0	3.8
Z016E0020	120.0	70.0	124.0	16.0	2.7
Z016E0021	210.0	110.0	144.0	16.0	4.9
Z016E0022	160.0	65.0	121.0	16.0	4.9
Z016E0023	170.0	80.0	177.0	14.0	5.1
Z016E0024	160.0	90.0	47.0	20.0	3.8
Z016E0025	200.0	95.0	168.0	NaN	6.5
Z016E0026	155.0	60.0	125.0	16.0	4.8
Z016E0027	190.0	85.0	157.0	16.0	4.7
Z016E0028	180.0	75.0	132.0	16.0	7.4
Z016E0029	175.0	80.0	NaN	NaN	NaN
Z016E0030	170.0	110.0	130.0	18.0	3.8
Z016E0031	190.0	90.0	169.0	24.0	5.6
Z016E0032	175.0	85.0	145.0	14.0	4.7
Z016E0033	185.0	110.0	NaN	NaN	4.9
Z016E0034	NaN	NaN	NaN	NaN	NaN
Z016E0035	160.0	65.0	135.0	14.0	4.6
Z016E0036	180.0	95.0	NaN	NaN	NaN
Z016E0037	155.0	90.0	NaN	NaN	2.9
Z016E0038	160.0	90.0	138.0	17.0	5.1
Z016E0039	150.0	80.0	NaN	NaN	NaN
Z016E0040	145.0	65.0	144.0	16.0	6.2
Z016E0041	95.0	40.0	66.0	10.0	1.4
Z016E0042	205.0	95.0	132.0	16.0	6.3
Z016E0043	185.0	75.0	186.0	12.0	4.7
Z016E0044	170.0	75.0	134.0	22.0	4.0
Z016E0045	155.0	80.0	149.0	17.0	5.1
Z016E0046	215.0	105.0	NaN	NaN	NaN
Z016E0047	175.0	65.0	127.0	20.0	4.4
Z016E0048	195.0	100.0	149.0	14.0	5.3
Z016E0049	150.0	60.0	NaN	NaN	NaN
Z016E0050	175.0	75.0	125.0	15.0	6.1
Z016E0051	185.0	95.0	133.0	16.0	3.9
Z016E0052	160.0	60.0	166.0	18.0	3.6
Z016E0053	180.0	80.0	148.0	14.0	4.5
