<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
MoG	180.0	100.0	137.0	18.0	5.3
Mp339	NaN	NaN	NaN	NaN	NaN
MS1334	125.0	35.0	132.0	12.0	6.0
MS153	85.0	25.0	NaN	NaN	NaN
MS71	150.0	55.0	155.5	14.0	4.8
Mt42	100.0	45.0	NaN	NaN	NaN
N192	135.0	55.0	160.0	14.0	3.9
N28Ht	115.0	45.0	144.0	18.0	4.8
N6	105.0	40.0	NaN	NaN	NaN
N7A	NaN	NaN	NaN	NaN	NaN
NC222	175.0	75.0	NaN	NaN	NaN
NC230	70.0	30.0	NaN	NaN	NaN
NC232	130.0	55.0	NaN	20.0	3.8
NC236	130.0	70.0	132.0	NaN	3.9
NC238	NaN	NaN	NaN	NaN	NaN
NC250	90.0	30.0	NaN	NaN	NaN
NC258	165.0	60.0	128.0	NaN	3.9
NC260	120.0	30.0	89.0	NaN	2.0
NC262	100.0	30.0	129.0	16.0	3.75
NC264	140.0	60.0	125.0	13.0	6.15
NC290A	90.0	30.0	NaN	NaN	NaN
NC294	130.0	60.0	120.0	NaN	4.0
NC296	160.0	85.0	147.0	12.0	2.9
NC296A	110.0	40.0	NaN	NaN	NaN
NC298	140.0	70.0	119.0	10.0	3.0
NC300	170.0	85.0	132.0	12.0	3.3
NC302	125.0	50.0	178.0	12.0	4.1
NC304	NaN	NaN	NaN	NaN	NaN
NC306	145.0	55.0	NaN	12.0	5.15
NC310	140.0	55.0	118.5	17.0	NaN
NC314	130.0	45.0	NaN	NaN	NaN
NC318	145.0	80.0	104.0	NaN	NaN
NC320	135.0	70.0	119.0	12.0	2.6
NC324	140.0	60.0	NaN	NaN	NaN
NC326	130.0	55.0	106.0	12.0	2.4
NC328	140.0	60.0	NaN	NaN	NaN
NC33	175.0	105.0	NaN	NaN	NaN
NC336	120.0	45.0	NaN	NaN	NaN
NC338	160.0	105.0	114.0	NaN	1.7
NC340	155.0	80.0	191.0	13.0	4.6
NC342	150.0	60.0	154.0	NaN	4.2
NC344	125.0	45.0	112.0	12.0	3.1
NC346	NaN	NaN	NaN	NaN	NaN
NC348	140.0	75.0	114.0	10.0	3.8
NC350	NaN	NaN	NaN	NaN	NaN
NC352	150.0	60.0	145.0	NaN	2.3
NC354	140.0	60.0	120.0	15.0	3.3
NC356	120.0	60.0	105.0	12.0	3.3
NC358	125.0	40.0	130.0	NaN	NaN
NC360	125.0	65.0	170.0	13.0	4.5
