Z004E0023	Ames23461
Z004E0024	Ames23463
Z004E0025	Ames23464
Z004E0026	Ames23465
Z004E0027	Ames23466
Z004E0028	Ames23467
Z004E0029	Ames23468
Z004E0031	Ames8396
Z004E0032	Ames23474
Z004E0033	Ames23475
Z004E0034	Ames23476
Z004E0035	Ames19310
Z004E0036	Ames23477
Z004E0038	Ames23478
Z004E0039	Ames23479
Z004E0040	Ames23480
Z004E0041	Ames23481
Z004E0042	NSL81597
Z004E0043	Ames23482
Z004E0044	Ames23482
Z004E0045	Ames23482
Z004E0046	Ames23483
Z004E0047	Ames23484
Z004E0048	Ames23486
Z004E0049	A654
Z004E0050	A654
Z004E0051	PI587141
Z004E0052	PI587141
Z004E0053	PI587141
Z004E0054	PI587141
Z004E0056	Ames23487
Z004E0057	Ames23488
Z004E0058	A659
Z004E0059	A659
Z004E0060	NSL81599
Z004E0061	NSL81600
Z004E0062	NSL81600
Z004E0063	A661
Z004E0064	A661
Z004E0065	PI607521
Z004E0066	PI607521
Z004E0067	PI607521
Z004E0068	PI607521
Z004E0069	PI607522
Z004E0070	PI607522
Z004E0071	PI607523
Z004E0072	PI607524
Z004E0073	Ames23490
Z004E0074	Ames23492
Z004E0075	Ames23493
Z004E0076	Ames23495
Z004E0077	Ames23496
Z004E0078	Ames23496
Z004E0079	Ames23497
Z004E0080	Ames23498
Z004E0081	Ames23499
Z004E0082	Ames23500
Z004E0083	Ames23501
Z004E0084	Ames23502
Z004E0085	A679
Z004E0086	A679
Z004E0087	PI587142
Z004E0088	Ames23505
Z004E0089	PI567792
Z004E0090	PI567793
Z004E0091	PI567794
Z004E0092	NSL42875
Z004E0093	Ames22439
Z004E0094	Ames22439
Z004E0095	Ames23392
Z004E0096	Ames23393
Z004E0097	Ab18
Z004E0098	PI542937
Z004E0099	Ab24E
Z004E0100	Ames10244
Z004E0101	Ab26A
Z004E0102	Ab28A
Z004E0103	Ab28A
Z004E0104	Ames18999
Z004E0105	Ames18999
Z004E0106	Ab608A
Z004E0107	Ames10246
Z004E0108	Ab610
Z004E0109	PI542938
Z004E0110	Ab616
Z004E0111	PI542939
Z004E0112	Ames22792
Z004E0113	Ames10287
Z004E0115	Ames22793
Z004E0116	Ames22794
Z004E0117	Ames28974
Z004E0118	Ames28990
Z004E0120	Ames28990
Z004E0121	Ames28972
Z004E0122	Ames28971
Z004E0123	Ames28971
Z004E0124	Ames28976
Z004E0125	Ames28975
Z004E0126	Ames28975
Z004E0127	Ames28970
Z004E0128	Ames28970
Z004E0129	Ames28981
Z004E0130	Ames28973
Z004E0131	Ames28973
Z004E0132	Ames28982
Z004E0133	Ames28983
Z004E0134	Ames28983
Z004E0135	Ames28985
Z004E0136	Ames28994
Z004E0137	Ames28994
Z004E0138	Ames28995
Z004E0139	Ames28979
Z004E0140	Ames28987
Z004E0141	Ames28978
Z004E0142	Ames28978
Z004E0144	Ames28988
Z004E0145	Ames28984
Z004E0146	Ames28984
Z004E0147	Ames28977
Z004E0148	Ames28991
Z004E0149	Ames28996
Z004E0150	Ames28997
Z004E0151	Ames28997
Z004E0152	Ames28980
Z004E0153	Ames28992
Z004E0154	Ames28993
Z004E0155	Ames29030
Z004E0157	Ames28986
Z004E0158	Ames28999
Z004E0159	Ames29000
Z004E0160	Ames29000
Z004E0161	Ames28998
Z004E0162	Ames28989
Z004E0163	Ames29001
Z004E0164	Ames29010
Z004E0165	Ames29010
Z004E0166	Ames29011
Z004E0167	Ames29012
Z004E0168	Ames29013
Z004E0169	Ames29014
Z004E0170	Ames29015
Z004E0171	Ames29016
Z004E0172	Ames29017
Z004E0173	Ames29018
Z004E0174	Ames29019
Z004E0175	Ames29002
Z004E0176	Ames29020
Z004E0177	Ames29020
Z004E0178	Ames29021
Z004E0179	Ames29003
Z004E0180	Ames29004
Z004E0181	Ames29005
Z004E0182	Ames29006
Z004E0183	Ames29007
Z004E0184	Ames29008
Z004E0185	Ames29009
Z004E0186	Ames29009
Z004E0187	Ames29022
Z004E0188	Ames29023
Z004E0189	Ames29024
Z004E0190	Ames29024
Z004E0191	Ames29025
Z004E0192	Ames29026
Z004E0193	Ames29026
Z004E0194	Ames29027
Z004E0195	Ames29028
Z004E0196	PI564716
Z004E0197	PI561515
Z004E0198	PI561516
Z004E0200	PI561517
Z004E0208	PI561518
Z004E0232	PI564717
Z005E0001	PI561520
Z005E0003	PI561521
Z005E0006	PI561522
Z005E0007	PI561523
Z005E0008	PI561525
Z005E0009	PI561526
Z005E0010	PI561527
Z005E0011	PI561528
Z005E0012	PI561529
Z005E0013	PI561531
Z005E0014	PI561532
Z005E0015	PI561533
Z005E0016	PI561534
Z005E0017	PI561535
Z005E0019	PI561537
Z005E0020	B10
Z005E0021	B10
Z005E0022	NSL65865
Z005E0023	NSL65865
Z005E0024	PI564852
Z005E0025	PI607381
Z005E0027	PI607383
Z005E0028	B115
Z005E0029	B115
Z005E0032	PI615190
Z005E0033	PI615190
Z005E0034	PI340841
Z005E0035	PI340847
Z005E0036	PI340850
Z005E0037	PI340855
